団体コード,団体名,更新日
313297,鳥取県八頭町,
313645,鳥取県三朝町,
313726,鳥取県北栄町,
313904,鳥取県伯耆町,
322016,島根県松江市,
322024,島根県浜田市,
322032,島根県出雲市,
322041,島根県益田市,
322059,島根県大田市,
322067,島根県安来市,2019/6/17
322075,島根県江津市,
322091,島根県雲南市,
323438,島根県奥出雲町,
323861,島根県飯南町,
324418,島根県川本町,
324485,島根県美郷町,
324493,島根県邑南町,
325015,島根県津和野町,
325058,島根県吉賀町,
325252,島根県海士町,
325261,島根県西ノ島町,
325279,島根県知夫村,
325287,島根県隠岐の島町,
331007,岡山県岡山市,2020/11/16
332020,岡山県倉敷市,
332038,岡山県津山市,
332046,岡山県玉野市,
332054,岡山県笠岡市,
332071,岡山県井原市,
332089,岡山県総社市,
332097,岡山県高梁市,
332101,岡山県新見市,
332127,岡山県瀬戸内市,
332143,岡山県真庭市,
332160,岡山県浅口市,
333468,岡山県和気町,
334235,岡山県早島町,
334456,岡山県里庄町,
334618,岡山県矢掛町,
336068,岡山県鏡野町,
336220,岡山県勝央町,
336238,岡山県奈義町,
336432,岡山県西粟倉村,
336637,岡山県久米南町,
336661,岡山県美咲町,
341002,広島県広島市,2020/3/31
342025,広島県呉市,
342076,広島県福山市,
342084,広島県府中市,
342114,広島県大竹市,
342122,広島県東広島市,
342149,広島県安芸高田市,
342157,広島県江田島市,
343021,広島県府中町,
343072,広島県熊野町,2021/2/12
343684,広島県安芸太田町,
343692,広島県北広島町,
352012,山口県下関市,
352021,山口県宇部市,
352039,山口県山口市,
352047,山口県萩市,
352063,山口県防府市,
352071,山口県下松市,
352080,山口県岩国市,2022/12/27
352101,山口県光市,
352110,山口県長門市,
352128,山口県柳井市,
352136,山口県美祢市,
352152,山口県周南市,
352161,山口県山陽小野田市,
353051,山口県周防大島町,
353213,山口県和木町,
353418,山口県上関町,
353434,山口県田布施町,
353442,山口県平生町,
362018,徳島県徳島市,
362026,徳島県鳴門市,
362034,徳島県小松島市,
362042,徳島県阿南市,2022/9/5
362051,徳島県吉野川市,
362077,徳島県美馬市,
362085,徳島県三好市,
363022,徳島県上勝町,
363219,徳島県佐那河内村,
363413,徳島県石井町,
363421,徳島県神山町,
363685,徳島県那賀町,
363839,徳島県牟岐町,
363871,徳島県美波町,
363880,徳島県海陽町,
364011,徳島県松茂町,
364029,徳島県北島町,
364037,徳島県藍住町,
364045,徳島県板野町,
364053,徳島県上板町,
364681,徳島県つるぎ町,
364894,徳島県東みよし町,
372013,香川県高松市,
372021,香川県丸亀市,
372030,香川県坂出市,2022/6/23
372048,香川県善通寺市,
372072,香川県東かがわ市,
372081,香川県三豊市,
373222,香川県土庄町,2021/6/29
373249,香川県小豆島町,
373648,香川県直島町,
373869,香川県宇多津町,
373877,香川県綾川町,
374032,香川県琴平町,
374041,香川県多度津町,
374067,香川県まんのう町,
382019,愛媛県松山市,
382027,愛媛県今治市,
382035,愛媛県宇和島市,
382043,愛媛県八幡浜市,
382051,愛媛県新居浜市,
382060,愛媛県西条市,
382078,愛媛県大洲市,
382108,愛媛県伊予市,
382132,愛媛県四国中央市,
382141,愛媛県西予市,
382159,愛媛県東温市,2022/4/22
383562,愛媛県上島町,
383864,愛媛県久万高原町,
384011,愛媛県松前町,
384020,愛媛県砥部町,
384224,愛媛県内子町,
384429,愛媛県伊方町,
384887,愛媛県鬼北町,
385069,愛媛県愛南町,
392014,高知県高知市,
392022,高知県室戸市,
392031,高知県安芸市,
392049,高知県南国市,
392057,高知県土佐市,
392081,高知県宿毛市,
392111,高知県香南市,
392120,高知県香美市,
393053,高知県北川村,
393444,高知県大豊町,
393649,高知県大川村,
393860,高知県いの町,2021/6/1
394017,高知県中土佐町,
394025,高知県佐川町,
394033,高知県越知町,
394050,高知県梼原町,
394106,高知県日高村,
394114,高知県津野町,
394271,高知県三原村,
394289,高知県黒潮町,
401005,福岡県北九州市,
401307,福岡県福岡市,
402028,福岡県大牟田市,
402036,福岡県久留米市,
402044,福岡県直方市,
402052,福岡県飯塚市,2021/2/9
402061,福岡県田川市,
402079,福岡県柳川市,
402109,福岡県八女市,
402117,福岡県筑後市,
402125,福岡県大川市,
402133,福岡県行橋市,
402150,福岡県中間市,
402168,福岡県小郡市,
402176,福岡県筑紫野市,
402184,福岡県春日市,2021/2/18
402192,福岡県大野城市,
402206,福岡県宗像市,
402214,福岡県太宰府市,
402231,福岡県古賀市,
402249,福岡県福津市,2020/1/15
402257,福岡県うきは市,
402265,福岡県宮若市,
402273,福岡県嘉麻市,
402281,福岡県朝倉市,
402290,福岡県みやま市,
402303,福岡県糸島市,
402311,福岡県那珂川市,
403415,福岡県宇美町,
403423,福岡県篠栗町,
403431,福岡県志免町,
403440,福岡県須恵町,
403458,福岡県新宮町,
403482,福岡県久山町,
403491,福岡県粕屋町,
403814,福岡県芦屋町,
403822,福岡県水巻町,
403831,福岡県岡垣町,
403849,福岡県遠賀町,
404021,福岡県鞍手町,
404217,福岡県桂川町,
404471,福岡県筑前町,
405035,福岡県大刀洗町,
405221,福岡県大木町,
405442,福岡県広川町,
406015,福岡県香春町,
406058,福岡県川崎町,
406104,福岡県福智町,
406210,福岡県苅田町,
406252,福岡県みやこ町,
406473,福岡県築上町,
412015,佐賀県佐賀市,
412031,佐賀県鳥栖市,
412040,佐賀県多久市,
412058,佐賀県伊万里市,
412082,佐賀県小城市,
413411,佐賀県基山町,
413879,佐賀県玄海町,
414018,佐賀県有田町,
422011,長崎県長崎市,
422029,長崎県佐世保市,2021/3/22
422037,長崎県島原市,
422045,長崎県諫早市,
422053,長崎県大村市,
422070,長崎県平戸市,
422088,長崎県松浦市,
422096,長崎県対馬市,2021/10/11
422100,長崎県壱岐市,
422118,長崎県五島市,
422126,長崎県西海市,
422134,長崎県雲仙市,
422142,長崎県南島原市,
423076,長崎県長与町,
423084,長崎県時津町,
423211,長崎県東彼杵町,
423220,長崎県川棚町,
423238,長崎県波佐見町,
423831,長崎県小値賀町,
423912,長崎県佐々町,
424111,長崎県新上五島町,
431001,熊本県熊本市,
432041,熊本県荒尾市,
432059,熊本県水俣市,
432083,熊本県山鹿市,
432105,熊本県菊池市,
432113,熊本県宇土市,
432130,熊本県宇城市,
432148,熊本県阿蘇市,
432156,熊本県天草市,
433691,熊本県和水町,
434035,熊本県大津町,
434281,熊本県高森町,
434418,熊本県御船町,
434477,熊本県山都町,
434680,熊本県氷川町,2021/6/29
442011,大分県大分市,
442020,大分県別府市,
442038,大分県中津市,2020/9/4
442046,大分県日田市,
442054,大分県佐伯市,
442062,大分県臼杵市,
442071,大分県津久見市,
442089,大分県竹田市,
442097,大分県豊後高田市,
442101,大分県杵築市,
442119,大分県宇佐市,
442127,大分県豊後大野市,
442135,大分県由布市,
442143,大分県国東市,
443221,大分県姫島村,
443417,大分県日出町,
444618,大分県九重町,
444626,大分県玖珠町,
452017,宮崎県宮崎市,
452025,宮崎県都城市,2022/1/12
452033,宮崎県延岡市,
452041,宮崎県日南市,
452068,宮崎県日向市,
452076,宮崎県串間市,
452092,宮崎県えびの市,
454010,宮崎県高鍋町,
454052,宮崎県川南町,
454061,宮崎県都農町,
454214,宮崎県門川町,
454419,宮崎県高千穂町,
462012,鹿児島県鹿児島市,
462039,鹿児島県鹿屋市,
462101,鹿児島県指宿市,
462144,鹿児島県垂水市,
462152,鹿児島県薩摩川内市,
462179,鹿児島県曽於市,
462187,鹿児島県霧島市,
462217,鹿児島県志布志市,2022/10/4
462225,鹿児島県奄美市,
462250,鹿児島県姶良市,
464040,鹿児島県長島町,
464686,鹿児島県大崎町,
464821,鹿児島県東串良町,
464902,鹿児島県錦江町,
464911,鹿児島県南大隅町,
464929,鹿児島県肝付町,
465011,鹿児島県中種子町,
465020,鹿児島県南種子町,
465356,鹿児島県与論町,
472018,沖縄県那覇市,2023/2/9
472051,沖縄県宜野湾市,
472077,沖縄県石垣市,
472085,沖縄県浦添市,2023/2/9
472093,沖縄県名護市,
472107,沖縄県糸満市,
472115,沖縄県沖縄市,
472123,沖縄県豊見城市,
472131,沖縄県うるま市,2023/3/1
472140,沖縄県宮古島市,
472158,沖縄県南城市,
473014,沖縄県国頭村,2023/2/28
473022,沖縄県大宜味村,2023/2/20
473031,沖縄県東村,
473081,沖縄県本部町,2023/2/20
473111,沖縄県恩納村,
473138,沖縄県宜野座村,
473243,沖縄県読谷村,
473260,沖縄県北谷町,2023/2/20
473278,沖縄県北中城村,2023/2/20
473286,沖縄県中城村,
473481,沖縄県与那原町,
473502,沖縄県南風原町,
473545,沖縄県座間味村,
473570,沖縄県南大東村,
473588,沖縄県北大東村,
473626,沖縄県八重瀬町,
473758,沖縄県多良間村,
473812,沖縄県竹富町,
473821,沖縄県与那国町,
